X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.0995919998401,42.3231319999842,647550,70007,70007,Jackson Square,Jackson Square - Orange Line - Oak Grove,,Oak Grove,42.323132,-71.099592,RapidTransit,,https://www.mbta.com/stops/place-jaksn,level_-1_platform,0,place-jaksn,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0998790003566,42.3230140001485,647551,door-jaksn-main,,"Jackson Square - Centre St, Busway, Park","Jackson Square - Centre St, Busway, Park",,,42.323014,-71.099879,,,,level_ground,2,place-jaksn,1,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.052514000381,42.3206319998973,647554,70085,70085,JFK/UMass,JFK/UMass - Red Line - Ashmont,,Ashmont,42.320632,-71.052514,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0524730004035,42.3206369998742,647555,70086,70086,JFK/UMass,JFK/UMass - Red Line - Alewife (from Ashmont),,Alewife (from Ashmont),42.320637,-71.052473,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.052287000354,42.3204179999129,647556,70095,70095,JFK/UMass,JFK/UMass - Red Line - Braintree,,Braintree,42.320418,-71.052287,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0522149994414,42.3204340004231,647557,70096,70096,JFK/UMass,JFK/UMass - Red Line - Alewife (from Braintree),,Alewife (from Braintree),42.320434,-71.052215,RapidTransit,,https://www.mbta.com/stops/place-jfk,level_0_red_platform,0,place-jfk,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0515450002939,42.3204860003018,647559,door-jfk-busway,,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Ramp)","JFK/UMass - Busway, JFK Library, Mount Vernon St (Ramp)",,,42.320486,-71.051545,,,,level_ground,2,place-jfk,1,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0525829998873,42.3213579999951,647560,door-jfk-columbia,,JFK/UMass - Columbia Rd,JFK/UMass - Columbia Rd,,,42.321358,-71.052583,,,,level_columbia_rd,2,place-jfk,1,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0516230002902,42.320828999662,647561,door-jfk-oldcolony,,"JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)","JFK/UMass - Busway, JFK Library, Mount Vernon St (Stairs)",,,42.320829,-71.051623,,,,level_ground,2,place-jfk,2,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0527130002024,42.3205970002361,647562,door-jfk-sydneyn,,JFK/UMass - Sydney St (North),JFK/UMass - Sydney St (North),,,42.320597,-71.052713,,,,level_in_street,2,place-jfk,2,Boston,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
